Plot,2008_number of species,2020_number of species,Elevation
F000,12,9,1679
F007,22,10,1811
F010,12,12,1778
F011,9,6,1698
F012,12,7,1782
F016,13,8,1803
F017,18,6,1734
F019,12,9,1805
F021,23,14,1938
F023,7,12,1833
F025,9,8,1830
F028,16,11,1923
F030,24,10,1885
F033,26,10,1963
F045,11,5,1639
F048,20,0,1876
F081,16,8,1796
F107,43,0,1924
F110,18,9,1932
F123,15,9,1756
F125,26,11,1728
F126,11,8,1574
F131,24,8,1752
F132,9,5,1706
F136,22,12,1750
F156,16,10,1857
F157,36,6,1766
F185,22,6,1856
F190,23,7,1852
F191,17,8,1816
F193,5,8,1858
F246,29,9,1939
S000,2,5,1516
S004,12,7,1851
S012,5,4,1543
S016,7,8,1679
S018,7,6,1544
S022,39,12,1823
S023,8,7,1839
S027,11,10,1904
S028,8,4,1826
S043,16,12,1453
S115,18,6,1428
S141,15,6,1534
S015,15,9,1727
